15;145;9568;77;333;5
12;1234;9658;10;99999;4;35
12;1234;9658;121902;789;4;50
12;1234;9658;10;789;4;50
12;1234;9658;10;789;4;35
10;789;9635;20;678;8;50
20;678;987;12;1234;5;50
456;96;800;20;678;3;35
12;1234;4321;10;789;8;50
77;333;2353;77;333;4;35
12;1234;93658;10;789;4;50
10;789;96435;20;678;8;35
20;678;9837;12;1234;5;50
456;96;8040;20;678;3;35
12;1234;43321;10;789;8;50
77;333;23543;77;333;4;50
45;532;96548;67;6782;4;35
54;6232;96325;20;678;8;27
98;7892;2987;12;1234;5;35
100;12322;8300;20;678;3;27
123;12122;421321;10;789;8;35
543;12342;232153;77;333;4;27
12;1234;96358;10;789;4;35
10;789;96325;20;678;8;27
20;678;98732;12;1234;5;35
456;96;8002;20;678;3;27
12;1234;43321;10;789;8;35
77;333;23533;77;333;4;27
12;1234;936358;10;789;4;27
10;789;964353;20;678;8;44
20;678;98357;12;1234;5;35
456;96;80430;20;678;3;35
12;1234;432321;10;789;8;44
77;333;235543;77;333;4;35
45;532;965348;67;6782;4;44
54;6232;963425;20;678;8;35
98;7892;29837;12;1234;5;35
100;12322;82300;20;678;3;44
123;12122;42341321;10;789;8;44
543;12342;23213253;77;333;4;44
12;1234;96358;10;789;4;35
10;789;96352;20;678;8;35
20;678;987;12;1234;5;35
456;96;800;220;678;3;44
12;1234;43213;10;789;8;35
77;333;235323;77;333;4;44
12;1234;936582;10;789;4;35
10;789;964353;20;678;8;44
20;678;9837;123;1234;5;35
456;96;80403;20;678;3;44
12;1234;43321;10;789;8;44
45;532;965498;67;6782;4;44
54;6232;9639825;20;678;8;44
98;7892;298789;12;1234;5;44
100;12322;899300;20;678;3;44
123;12122;42198321;10;789;8;44
543;12342;23218953;77;333;4;44
